department,NACE,workforce
09,46.69,4.5
09,46.72,4.5
09,47.29,4.5
09,47.42,4.5
09,47.74,4.5
09,47.78,4.5
09,55.30,4.5
09,55.90,4.5
09,58.13,4.5
09,62.01,4.5
09,66.22,4.5
09,68.31,4.5
09,70.10,4.5
09,72.19,4.5
09,77.32,4.5
09,81.10,4.5
09,85.53,4.5
09,85.59,4.5
09,86.23,4.5
09,93.29,4.5
09,96.02,4.5
09,96.03,4.5
10,01.19,4.5
10,01.50,4.5
10,01.62,4.5
10,08.11,4.5
10,10.31,4.5
10,10.83,4.5
10,11.02,4.5
10,11.03,4.5
10,13.92,4.5
10,16.21,4.5
10,17.21,4.5
10,17.29,4.5
10,20.15,4.5
10,23.19,4.5
10,25.61,4.5
10,26.30,4.5
10,26.40,4.5
10,33.16,4.5
10,33.20,4.5
10,37.00,4.5
10,42.99,4.5
10,43.39,4.5
10,43.99,4.5
10,46.32,4.5
10,46.39,4.5
10,46.44,4.5
10,46.63,4.5
10,46.73,4.5
10,47.21,4.5
10,47.51,4.5
10,47.52,4.5
10,47.77,4.5
10,47.78,4.5
10,58.14,4.5
10,59.11,4.5
10,59.20,4.5
10,60.20,4.5
10,62.09,4.5
10,63.11,4.5
10,64.11,4.5
10,64.30,4.5
10,66.19,4.5
10,66.21,4.5
10,66.22,4.5
10,71.20,4.5
10,74.10,4.5
10,77.11,4.5
10,77.12,4.5
10,77.32,4.5
10,79.11,4.5
10,80.20,4.5
10,81.29,4.5
10,82.11,4.5
10,85.59,4.5
10,86.23,4.5
10,86.90,4.5
10,87.20,4.5
10,88.10,4.5
10,91.01,4.5
10,91.03,4.5
10,92.00,4.5
10,95.11,4.5
11,01.47,4.5
11,03.21,4.5
11,10.12,4.5
11,10.71,4.5
11,10.72,4.5
11,10.89,4.5
11,14.19,4.5
11,16.10,4.5
11,16.23,4.5
11,17.21,4.5
11,17.29,4.5
11,18.13,4.5
11,20.14,4.5
11,20.30,4.5
11,20.41,4.5
11,20.53,4.5
11,22.29,4.5
11,25.93,4.5
11,26.40,4.5
11,28.29,4.5
11,32.50,4.5
11,33.13,4.5
11,35.30,4.5
11,43.21,4.5
11,43.29,4.5
11,43.99,4.5
11,46.11,4.5
11,46.19,4.5
11,46.33,4.5
11,46.37,4.5
11,46.39,4.5
11,46.45,4.5
11,46.51,4.5
11,46.66,4.5
11,46.76,4.5
11,46.90,4.5
11,47.26,4.5
11,47.65,4.5
11,47.72,4.5
11,47.99,4.5
11,49.39,4.5
11,50.40,4.5
11,52.22,4.5
11,52.24,4.5
11,55.20,4.5
11,56.21,4.5
11,58.29,4.5
11,59.13,4.5
11,64.11,4.5
11,66.19,4.5
11,66.19,4.5
11,66.30,4.5
11,68.32,4.5
11,71.20,4.5
11,72.11,4.5
11,77.11,4.5
11,80.20,4.5
11,82.19,4.5
11,85.59,4.5
11,88.10,4.5
11,90.04,4.5
11,94.12,4.5
11,94.91,4.5
11,95.29,4.5
11,96.01,4.5
11,96.02,4.5
12,01.11,4.5
12,01.30,4.5
12,03.12,4.5
12,08.12,4.5
12,10.61,4.5
12,23.12,4.5
12,23.61,4.5
12,23.70,4.5
12,24.33,4.5
12,25.61,4.5
12,25.73,4.5
12,27.32,4.5
12,28.22,4.5
12,28.93,4.5
12,35.12,4.5
12,35.22,4.5
12,38.32,4.5
12,41.20,4.5
12,43.11,4.5
12,43.33,4.5
12,46.13,4.5
12,46.32,4.5
12,46.32,4.5
12,46.41,4.5
12,46.43,4.5
12,46.45,4.5
12,46.71,4.5
12,46.72,4.5
12,46.73,4.5
12,47.11,4.5
12,47.23,4.5
12,47.25,4.5
12,47.30,4.5
12,47.41,4.5
12,47.52,4.5
12,47.59,4.5
12,47.75,4.5
12,47.77,4.5
12,52.29,4.5
12,56.21,4.5
12,59.14,4.5
12,60.20,4.5
12,62.01,4.5
12,71.12,4.5
12,73.11,4.5
12,73.20,4.5
12,81.29,4.5
12,82.19,4.5
12,82.99,4.5
12,86.90,4.5
12,86.90,4.5
12,88.99,4.5
12,90.01,4.5
12,92.00,4.5
12,94.12,4.5
12,95.22,4.5
12,96.01,4.5
12,96.09,4.5
13,01.11,4.5
13,01.45,4.5
13,01.47,4.5
13,01.50,4.5
13,01.64,4.5
13,08.92,4.5
13,10.52,4.5
13,10.86,4.5
13,13.30,4.5
13,13.93,4.5
13,13.96,4.5
13,15.11,4.5
13,18.14,4.5
13,20.17,4.5
13,22.11,4.5
13,23.49,4.5
13,24.41,4.5
13,24.43,4.5
13,24.51,4.5
13,25.40,4.5
13,27.11,4.5
13,28.15,4.5
13,29.10,4.5
13,31.09,4.5
13,35.14,4.5
13,46.12,4.5
13,46.14,4.5
13,46.15,4.5
13,46.32,4.5
13,46.48,4.5
13,46.64,4.5
13,47.26,4.5
13,47.79,4.5
13,47.82,4.5
13,59.20,4.5
13,68.32,4.5
13,74.20,4.5
13,77.11,4.5
13,82.91,4.5
13,86.90,4.5
14,01.49,4.5
14,02.20,4.5
14,03.11,4.5
14,10.39,4.5
14,10.71,4.5
14,14.12,4.5
14,20.20,4.5
14,20.51,4.5
14,23.12,4.5
14,23.70,4.5
14,23.99,4.5
14,24.53,4.5
14,28.41,4.5
14,30.12,4.5
14,32.40,4.5
14,38.22,4.5
14,41.10,4.5
14,45.40,4.5
14,46.77,4.5
14,47.11,4.5
14,47.51,4.5
14,47.53,4.5
14,47.62,4.5
14,47.65,4.5
14,47.72,4.5
14,49.32,4.5
14,49.50,4.5
14,59.11,4.5
14,62.02,4.5
14,63.91,4.5
14,72.20,4.5
14,74.10,4.5
14,74.20,4.5
14,74.90,4.5
14,82.91,4.5
14,85.51,4.5
14,85.52,4.5
14,87.20,4.5
14,93.13,4.5
14,95.11,4.5
14,95.29,4.5
15,01.42,4.5
15,08.12,4.5
15,10.61,4.5
15,10.71,4.5
15,10.82,4.5
15,11.07,4.5
15,16.23,4.5
15,17.21,4.5
15,23.61,4.5
15,23.70,4.5
15,25.73,4.5
15,28.93,4.5
15,28.99,4.5
15,29.20,4.5
15,32.50,4.5
15,33.12,4.5
15,33.20,4.5
15,33.20,4.5
15,42.99,4.5
15,43.34,4.5
15,43.91,4.5
15,45.19,4.5
15,46.19,4.5
15,46.21,4.5
15,46.38,4.5
