"annee","departement","naf","taille","nombre",
2018,"01","23.20Z","11",1,"23"
2018,"01","23.61Z","11",1,"23"
2018,"01","23.63Z","11",1,"23"
2018,"01","23.70Z","11",1,"23"
2018,"01","24.45Z","11",1,"24"
2018,"01","24.53Z","11",1,"24"
2018,"01","25.11Z","11",12,"25"
2018,"01","25.50B","11",3,"25"
2018,"01","25.61Z","11",8,"25"
2018,"01","25.62A","11",2,"25"
2018,"01","25.62B","11",24,"25"
2018,"01","25.73A","11",13,"25"
2018,"01","25.73B","11",3,"25"
2018,"01","25.93Z","11",2,"25"
2018,"01","25.99B","11",1,"25"
2018,"01","26.11Z","11",2,"26"
2018,"01","26.12Z","11",2,"26"
2018,"01","26.51B","11",2,"26"
2018,"01","27.11Z","11",1,"27"
2018,"01","27.12Z","11",3,"27"
2018,"01","27.33Z","11",2,"27"
2018,"01","27.52Z","11",1,"27"
2018,"01","27.90Z","11",1,"27"
2018,"01","28.22Z","11",3,"28"
2018,"01","28.25Z","11",3,"28"
2018,"01","28.29A","11",2,"28"
2018,"01","28.29B","11",1,"28"
2018,"01","28.30Z","11",1,"28"
2018,"01","28.49Z","11",1,"28"
2018,"01","28.93Z","11",3,"28"
2018,"01","28.99B","11",2,"28"
2018,"01","29.10Z","11",1,"29"
2018,"01","29.20Z","11",4,"29"
2018,"01","29.32Z","11",1,"29"
2018,"01","30.11Z","11",1,"30"
2018,"01","31.01Z","11",3,"31"
2018,"01","31.09B","11",2,"31"
2018,"01","32.50A","11",6,"32"
2018,"01","32.50B","11",7,"32"
2018,"01","32.99Z","11",1,"32"
2018,"01","33.11Z","11",3,"33"
2018,"01","33.12Z","11",9,"33"
2018,"01","33.14Z","11",2,"33"
2018,"01","33.20A","11",1,"33"
2018,"01","33.20B","11",4,"33"
2018,"01","33.20C","11",2,"33"
2018,"01","33.20D","11",3,"33"
2018,"01","35.11Z","11",2,"35"
2018,"01","35.13Z","11",5,"35"
2018,"01","35.22Z","11",1,"35"
2018,"01","35.30Z","11",1,"35"
2018,"01","36.00Z","11",4,"36"
2018,"01","37.00Z","11",3,"37"
2018,"01","38.11Z","11",3,"38"
2018,"01","38.21Z","11",1,"38"
2018,"01","38.32Z","11",4,"38"
2018,"01","39.00Z","11",2,"39"
2018,"01","41.10A","11",2,"41"
2018,"01","41.10C","11",1,"41"
2018,"01","41.20A","11",8,"41"
2018,"01","41.20B","11",2,"41"
2018,"01","42.11Z","11",3,"42"
2018,"01","42.12Z","11",1,"42"
2018,"01","42.21Z","11",1,"42"
2018,"01","42.22Z","11",2,"42"
2018,"01","42.91Z","11",1,"42"
2018,"01","42.99Z","11",2,"42"
2018,"01","43.11Z","11",1,"43"
2018,"01","43.12A","11",15,"43"
2018,"01","43.12B","11",1,"43"
2018,"01","43.13Z","11",2,"43"
2018,"01","43.21A","11",26,"43"
2018,"01","43.21B","11",1,"43"
2018,"01","43.22A","11",8,"43"
2018,"01","43.22B","11",10,"43"
2018,"01","43.29A","11",3,"43"
2018,"01","43.29B","11",2,"43"
2018,"01","43.31Z","11",15,"43"
2018,"01","43.32A","11",18,"43"
2018,"01","43.32B","11",3,"43"
2018,"01","43.32C","11",1,"43"
2018,"01","43.33Z","11",6,"43"
2018,"01","43.34Z","11",12,"43"
2018,"01","43.91A","11",11,"43"
2018,"01","43.91B","11",9,"43"
2018,"01","43.99B","11",3,"43"
2018,"01","43.99C","11",32,"43"
2018,"01","43.99D","11",3,"43"
2018,"01","43.99E","11",2,"43"
2018,"01","45.11Z","11",19,"45"
2018,"01","45.19Z","11",2,"45"
2018,"01","45.20A","11",25,"45"
2018,"01","45.20B","11",1,"45"
2018,"01","45.31Z","11",4,"45"
2018,"01","45.32Z","11",7,"45"
2018,"01","45.40Z","11",1,"45"
2018,"01","46.19A","11",1,"46"
