,src,dest,weight
12209,08.93,10.84,0.8076847535795005
12222,08.93,12.00,0.7571438944224387
12678,08.99,35.21,0.7602380943754062
12715,10.11,01.43,0.8189246771456887
12718,10.11,01.46,0.7697528055445855
12743,10.11,10.12,0.7583241414996118
12751,10.11,10.51,0.8292261440968336
12764,10.11,10.89,0.7739426158088378
12772,10.11,11.06,0.7682959426347006
12918,10.11,28.30,0.7901492187901193
13018,10.12,10.11,0.7583241414996118
13194,10.12,28.30,0.7600716411091372
13265,10.13,01.41,0.8345671736604593
13266,10.13,01.42,0.8335724155811433
13271,10.13,01.47,0.7836349555585033
13272,10.13,01.49,0.7807730123866343
13299,10.13,10.32,0.7502325090561585
13303,10.13,10.51,0.8690856439089321
13304,10.13,10.52,0.8185900844839515
13305,10.13,10.61,0.8140377815620615
13307,10.13,10.71,0.768492614928626
13308,10.13,10.72,0.768492614928626
13315,10.13,10.86,0.8820480836890237
13316,10.13,10.89,0.8279389994547436
13317,10.13,10.91,0.8235809632727598
13318,10.13,10.92,0.8292520012184306
13321,10.13,11.03,0.7882259831341678
13323,10.13,11.05,0.8650647511836813
13325,10.13,11.07,0.8284561360245175
13348,10.13,16.21,0.8070697182338903
13349,10.13,16.22,0.7950510653044582
13350,10.13,16.23,0.7826685757516469
13355,10.13,17.21,0.7543743007900594
13372,10.13,20.41,0.7835840685073994
13384,10.13,22.22,0.7910328533868025
13394,10.13,23.32,0.7784563473427062
13402,10.13,23.61,0.7822021951276277
13407,10.13,23.69,0.8134521598230169
13425,10.13,25.11,0.810382578407285
13426,10.13,25.12,0.8072882829642549
13434,10.13,25.91,0.8001366287977265
13435,10.13,25.92,0.8011905697106996
13454,10.13,27.33,0.7639290226195974
13494,10.13,31.03,0.7635353954685412
13513,10.13,58.13,0.7518223418982973
13514,10.13,58.14,0.7518223418982973
13527,10.20,01.14,0.7532346871093942
13532,10.20,01.22,0.784183228561774
13538,10.20,01.28,0.7769058433386199
13553,10.20,03.11,0.9383823646169505
13554,10.20,03.12,0.9383823646169505
13568,10.20,08.93,0.7888474434664167
13578,10.20,10.42,0.7561471516789066
13589,10.20,10.84,0.8033219642726246
13608,10.20,13.94,0.804987809504925
13615,10.20,14.14,0.7538179451947211
13802,10.31,01.13,0.7731215879447015
13824,10.31,01.49,0.7717462399333788
13852,10.31,10.39,0.8592468301172592
14078,10.32,01.13,0.7812035811812834
14080,10.32,01.15,0.7586039050520913
14084,10.32,01.22,0.8106174522698317
14087,10.32,01.25,0.753690871308941
14088,10.32,01.26,0.8138550326170151
14124,10.32,10.13,0.7502325090561585
14128,10.32,10.39,0.8814783221684205
14130,10.32,10.42,0.7712534686243456
14132,10.32,10.52,0.7525145796128572
14133,10.32,10.61,0.7855958566317334
14135,10.32,10.71,0.7927819175070684
14136,10.32,10.72,0.7927819175070684
14138,10.32,10.81,0.7573652385448604
14141,10.32,10.84,0.8061163569158416
14151,10.32,11.05,0.7810665063619215
14153,10.32,11.07,0.7746411705070446
14154,10.32,12.00,0.7624352174805664
14200,10.32,20.41,0.7709113384656814
14212,10.32,22.22,0.7868286871101461
14228,10.32,23.51,0.7664457000467264
14229,10.32,23.52,0.7531968179433204
14262,10.32,25.91,0.7701531586034143
14354,10.39,01.13,0.8718925627153744
14355,10.39,01.14,0.7729366516439509
14356,10.39,01.15,0.7990746030750777
14359,10.39,01.21,0.7738903739991252
14360,10.39,01.22,0.9089638062430303
14361,10.39,01.23,0.8286766359005038
14362,10.39,01.24,0.7883763943392519
14363,10.39,01.25,0.7993842143796699
14364,10.39,01.26,0.8815701863385028
14376,10.39,01.49,0.7874582148767801
14392,10.39,08.11,0.8043550866641972
14396,10.39,08.93,0.7628476501868444
14402,10.39,10.31,0.8592468301172592
14403,10.39,10.32,0.8814783221684205
14405,10.39,10.41,0.7772595288923152
14406,10.39,10.42,0.7518781294954466
14409,10.39,10.61,0.8150812446847433
14411,10.39,10.71,0.8118955266857522
14412,10.39,10.72,0.8118955266857522
14413,10.39,10.73,0.7625410651596694
14414,10.39,10.81,0.7523701529892752
14417,10.39,10.84,0.785973510399177
14418,10.39,10.85,0.7625410651596696
14419,10.39,10.86,0.753494679482436
14429,10.39,11.07,0.7566166766340559
14430,10.39,12.00,0.8167059261167986
14441,10.39,14.12,0.7923379825817913
14442,10.39,14.13,0.7712221105960327
14443,10.39,14.14,0.7940687340219942
14447,10.39,14.39,0.7967532848274472
14448,10.39,15.11,0.751086910546015
14459,10.39,17.21,0.7509269074041391
14488,10.39,22.22,0.773408216169447
14504,10.39,23.51,0.7637727042571149
14505,10.39,23.52,0.7930517506083472
14628,10.41,01.11,0.7505820758944742
14630,10.41,01.13,0.8086198028877625
14652,10.41,01.49,0.7611958949940374
14653,10.41,01.50,0.8312149653915549
14669,10.41,08.12,0.7678073003056809
14680,10.41,10.39,0.7772595288923152
14690,10.41,10.81,0.7515771610091315
14747,10.41,20.15,0.7749832686757354
14953,10.42,10.20,0.7561471516789066
14955,10.42,10.32,0.7712534686243456
14956,10.42,10.39,0.7518781294954466
14960,10.42,10.52,0.7521285111724364
14961,10.42,10.61,0.7567025901895017
14963,10.42,10.71,0.7769506280563837
14964,10.42,10.72,0.7769506280563837
14969,10.42,10.84,0.8112104242347781
14971,10.42,10.86,0.7519594914546046
14979,10.42,11.05,0.750502605417247
15004,10.42,16.21,0.7781741596277582
15005,10.42,16.22,0.7678788750400921
15006,10.42,16.23,0.7529929248483211
15011,10.42,17.21,0.7713385935230113
15023,10.42,20.15,0.750883577788971
15057,10.42,23.52,0.770142282599114
15063,10.42,23.69,0.7570245073000098
15081,10.42,25.11,0.7574086456356481
15082,10.42,25.12,0.7510306173803625
15090,10.42,25.91,0.7577948606525327
15197,10.51,01.41,0.7718788674809556
15198,10.51,01.42,0.7716175533312473
15199,10.51,01.43,0.754990605148611
15226,10.51,10.11,0.8292261440968336
15228,10.51,10.13,0.8690856439089321
15236,10.51,10.52,0.7939328935277886
15237,10.51,10.61,0.785890849643673
15238,10.51,10.62,0.7547779808778157
15239,10.51,10.71,0.7669142788260224
15240,10.51,10.72,0.7669142788260224
15243,10.51,10.82,0.7888164679538958
15247,10.51,10.86,0.8304885475550553
15248,10.51,10.89,0.8244917723747226
15249,10.51,10.91,0.7941243942456477
15250,10.51,10.92,0.795234673482879
15253,10.51,11.03,0.7915522182555553
15255,10.51,11.05,0.8131375423376372
15280,10.51,16.21,0.761644288786015
15407,10.51,28.93,0.7718941938610051
15445,10.51,58.13,0.7534446483349029
15446,10.51,58.14,0.7534446483349029
15458,10.52,01.13,0.7571853861613891
15466,10.52,01.24,0.7600623892049765
15468,10.52,01.26,0.754011317092896
15472,10.52,01.30,0.7600401711819519
15480,10.52,01.49,0.7552609596666272
15504,10.52,10.13,0.8185900844839515
15507,10.52,10.32,0.7525145796128572
15510,10.52,10.42,0.7521285111724364
15511,10.52,10.51,0.7939328935277886
15513,10.52,10.61,0.7990128811635853
15515,10.52,10.71,0.8416183419614475
15516,10.52,10.72,0.8416183419614475
15519,10.52,10.82,0.7738376408891665
15521,10.52,10.84,0.7551919463565482
15523,10.52,10.86,0.7864103756455132
15524,10.52,10.89,0.7616981655878513
15525,10.52,10.91,0.7536437791600661
15526,10.52,10.92,0.7567510501160637
15529,10.52,11.03,0.7719138465105556
15531,10.52,11.05,0.8577391729139423
15533,10.52,11.07,0.8367267260715128
15563,10.52,17.21,0.8023558012422722
15579,10.52,20.30,0.7907218180261095
15580,10.52,20.41,0.8776626753548105
15591,10.52,22.21,0.8250598437953607
15592,10.52,22.22,0.8138655342597882
15602,10.52,23.32,0.7997145443534207
15609,10.52,23.52,0.7564389306273809
15610,10.52,23.61,0.7570732705568108
15615,10.52,23.69,0.8230244798422574
15623,10.52,24.33,0.7734939184679859
15633,10.52,25.11,0.7977850348665863
15634,10.52,25.12,0.8027445077740996
15636,10.52,25.29,0.766708053045982
15642,10.52,25.91,0.8257847462472503
15643,10.52,25.92,0.8265735308358442
15713,10.52,35.11,0.7644635429453782
15721,10.52,58.13,0.7892323947155144
15722,10.52,58.14,0.7892323947155144
15723,10.52,58.19,0.8232976519487952
15734,10.61,01.13,0.8274154873646239
15740,10.61,01.22,0.7568097896638937
15744,10.61,01.26,0.7783376972951239
15749,10.61,01.41,0.7574071172889771
15750,10.61,01.42,0.7588988034777489
15756,10.61,01.49,0.7872122519296447
15780,10.61,10.13,0.8140377815620615
15783,10.61,10.32,0.7855958566317334
15784,10.61,10.39,0.8150812446847433
15786,10.61,10.42,0.7567025901895017
15787,10.61,10.51,0.785890849643673
15788,10.61,10.52,0.7990128811635853
15791,10.61,10.71,0.7973803996526502
15792,10.61,10.72,0.7973803996526502
15797,10.61,10.84,0.7857189484263589
15799,10.61,10.86,0.9462168968128624
15800,10.61,10.89,0.9419448855831418
15801,10.61,10.91,0.8161414164377537
15802,10.61,10.92,0.8145614255132043
15807,10.61,11.05,0.8059564493433269
15809,10.61,11.07,0.7838809901981312
15810,10.61,12.00,0.7537129198973282
15856,10.61,20.41,0.8467781978655715
15867,10.61,22.21,0.7865924933415905
15868,10.61,22.22,0.7601022583694982
15885,10.61,23.52,0.7851673566816175
15891,10.61,23.69,0.765745676067769
15918,10.61,25.91,0.7852879297333948
15919,10.61,25.92,0.8196056916609984
15999,10.61,58.19,0.7514468051715157
16063,10.62,10.51,0.7547779808778157
16076,10.62,10.89,0.7610584897758581
16135,10.62,20.52,0.7943794529592692
16230,10.62,28.30,0.8038259813430526
16286,10.71,01.13,0.7811819650121761
16296,10.71,01.26,0.8389758647398227
16301,10.71,01.41,0.7570539924566324
16302,10.71,01.42,0.7572940084615636
16308,10.71,01.49,0.7745267703399357
16332,10.71,10.13,0.768492614928626
16335,10.71,10.32,0.7927819175070684
16336,10.71,10.39,0.8118955266857522
16338,10.71,10.42,0.7769506280563837
16339,10.71,10.51,0.7669142788260224
16340,10.71,10.52,0.8416183419614475
16341,10.71,10.61,0.7973803996526502
16344,10.71,10.72,1.0000000000000002
16346,10.71,10.81,0.7555110119863286
16347,10.71,10.82,0.7963845268576487
16349,10.71,10.84,0.8303466377947935
16351,10.71,10.86,0.754773960810716
16359,10.71,11.05,0.8547141129169673
16361,10.71,11.07,0.8120147878565476
16362,10.71,12.00,0.8003078713242914
16373,10.71,14.12,0.7665590360093
16391,10.71,17.21,0.853955080226322
16408,10.71,20.41,0.8112664832341467
16419,10.71,22.21,0.7861612138391765
16420,10.71,22.22,0.8658235239788714
16436,10.71,23.51,0.7808821040308739
16437,10.71,23.52,0.8049047696006048
16443,10.71,23.69,0.7823377715739076
16461,10.71,25.11,0.7581211163466167
16462,10.71,25.12,0.7617864855820433
16464,10.71,25.29,0.7534475174008366
16470,10.71,25.91,0.8381679991254591
16471,10.71,25.92,0.7986060309553871
16489,10.71,27.32,0.7504986102422576
16541,10.71,35.11,0.7947389044341016
16544,10.71,38.11,0.7726582628614018
16562,10.72,01.13,0.7811819650121761
16572,10.72,01.26,0.8389758647398227
16577,10.72,01.41,0.7570539924566324
16578,10.72,01.42,0.7572940084615636
16584,10.72,01.49,0.7745267703399357
16608,10.72,10.13,0.768492614928626
16611,10.72,10.32,0.7927819175070684
16612,10.72,10.39,0.8118955266857522
16614,10.72,10.42,0.7769506280563837
16615,10.72,10.51,0.7669142788260224
16616,10.72,10.52,0.8416183419614475
16617,10.72,10.61,0.7973803996526502
16619,10.72,10.71,1.0000000000000002
16622,10.72,10.81,0.7555110119863286
16623,10.72,10.82,0.7963845268576487
16625,10.72,10.84,0.8303466377947935
16627,10.72,10.86,0.754773960810716
16635,10.72,11.05,0.8547141129169673
16637,10.72,11.07,0.8120147878565476
16638,10.72,12.00,0.8003078713242914
16649,10.72,14.12,0.7665590360093
16667,10.72,17.21,0.853955080226322
16684,10.72,20.41,0.8112664832341467
16695,10.72,22.21,0.7861612138391765
16696,10.72,22.22,0.8658235239788714
16712,10.72,23.51,0.7808821040308739
16713,10.72,23.52,0.8049047696006048
16719,10.72,23.69,0.7823377715739076
16737,10.72,25.11,0.7581211163466167
16738,10.72,25.12,0.7617864855820433
16740,10.72,25.29,0.7534475174008366
16746,10.72,25.91,0.8381679991254591
16747,10.72,25.92,0.7986060309553871
16765,10.72,27.32,0.7504986102422576
16817,10.72,35.11,0.7947389044341016
16820,10.72,38.11,0.7726582628614018
16844,10.73,01.22,0.797141179617887
16888,10.73,10.39,0.7625410651596694
16902,10.73,10.85,0.9999999999999998
17116,10.81,01.15,0.7653855947614696
17124,10.81,01.26,0.7684864396083155
17129,10.81,01.41,0.7506536819323455
17130,10.81,01.42,0.752717032378316
17136,10.81,01.49,0.7541436146634983
17137,10.81,01.50,0.7893854587089404
17163,10.81,10.32,0.7573652385448604
17164,10.81,10.39,0.7523701529892752
17165,10.81,10.41,0.7515771610091315
17171,10.81,10.71,0.7555110119863286
17172,10.81,10.72,0.7555110119863286
17187,10.81,11.05,0.7964739487226251
17189,10.81,11.07,0.775170533576333
17190,10.81,12.00,0.757223280794098
17248,10.81,22.22,0.7612582492460611
17264,10.81,23.51,0.7566793365557922
17369,10.81,35.11,0.7937929259361798
17443,10.82,10.51,0.7888164679538958
17444,10.82,10.52,0.7738376408891665
17447,10.82,10.71,0.7963845268576487
17448,10.82,10.72,0.7963845268576487
17455,10.82,10.86,0.759515014782306
17456,10.82,10.89,0.7570569829637144
17463,10.82,11.05,0.7641257618207236
17541,10.82,23.52,0.7566236229638588
17668,10.83,01.15,0.7798924542495344
17672,10.83,01.22,0.8173384194012461
17677,10.83,01.27,0.9942741894026073
17678,10.83,01.28,0.7816513354351187
17692,10.83,02.30,0.8061093292654026
17742,10.83,12.00,0.7676024779896553
17833,10.83,24.41,0.760537929663772
17942,10.84,01.13,0.7847185448629554
17948,10.84,01.22,0.7776620684205666
17952,10.84,01.26,0.7844433193659538
17954,10.84,01.28,0.809860931979357
17969,10.84,03.11,0.8005128017815749
17970,10.84,03.12,0.8005128017815749
17984,10.84,08.93,0.8076847535795005
17989,10.84,10.20,0.8033219642726246
17991,10.84,10.32,0.8061163569158416
17992,10.84,10.39,0.785973510399177
17994,10.84,10.42,0.8112104242347781
17996,10.84,10.52,0.7551919463565482
17997,10.84,10.61,0.7857189484263589
17999,10.84,10.71,0.8303466377947935
18000,10.84,10.72,0.8303466377947935
18007,10.84,10.86,0.7530956257140264
