src,dest,weight
01.11,01.50,0.9457972217342872
01.11,10.41,0.7505820758944742
01.13,01.19,0.8231916960287842
01.13,01.21,0.7921407843197026
01.13,01.22,0.8253787134636839
01.13,01.23,0.8288264407693184
01.13,01.24,0.8411829609649144
01.13,01.25,0.8882338434474041
01.13,01.26,0.8609527822500963
01.13,01.30,0.8005955873854543
01.13,01.49,0.7609932550548737
01.13,01.50,0.7650988436526212
01.13,02.10,0.8593134462366823
01.13,08.11,0.7924061995842644
01.13,08.93,0.7715156119200273
01.13,10.31,0.7731215879447015
01.13,10.32,0.7812035811812834
01.13,10.39,0.8718925627153744
01.13,10.41,0.8086198028877625
01.13,10.52,0.7571853861613891
01.13,10.61,0.8274154873646239
01.13,10.71,0.7811819650121761
01.13,10.72,0.7811819650121761
01.13,10.84,0.7847185448629554
01.13,10.86,0.7578349161051987
01.13,10.89,0.7577871274093503
01.13,11.05,0.7518755320971189
01.13,11.07,0.7550851753902375
01.13,12.00,0.7568405731438319
01.13,20.41,0.7526961305782136
01.14,01.22,0.7511608270110113
01.14,01.23,0.7574649909108992
01.14,08.93,0.7547053089372375
01.14,10.20,0.7532346871093942
01.14,10.39,0.7729366516439509
01.15,01.22,0.7696840316376011
01.15,01.26,0.803350664196357
01.15,01.27,0.7817611486685472
01.15,10.32,0.7586039050520913
01.15,10.39,0.7990746030750777
01.15,10.81,0.7653855947614696
01.15,10.83,0.7798924542495344
01.15,12.00,0.8816930664081037
01.15,14.12,0.8239338363989366
01.15,14.13,0.7996879463466671
01.15,14.14,0.823071979555179
01.15,14.39,0.8257612736617315
01.15,15.11,0.7805155520296256
01.15,23.51,0.7515860542966657
01.16,13.10,0.9454300368947266
01.19,01.13,0.8231916960287842
01.19,01.25,0.9633474667276856
01.19,02.10,0.9791193966196907
01.21,01.13,0.7921407843197026
01.21,01.23,0.805250320322782
01.21,01.24,0.8390906130094947
01.21,08.11,0.7561450877944262
01.21,10.39,0.7738903739991252
01.22,01.13,0.8253787134636839
01.22,01.14,0.7511608270110113
01.22,01.15,0.7696840316376011
01.22,01.23,0.8171211674092407
01.22,01.25,0.7659415764251915
01.22,01.26,0.8498321979603611
01.22,01.27,0.8109881888652499
01.22,03.11,0.7756130189709394
01.22,03.12,0.7756130189709394
01.22,08.93,0.7545005107832026
01.22,10.20,0.784183228561774
01.22,10.32,0.8106174522698317
01.22,10.39,0.9089638062430303
01.22,10.61,0.7568097896638937
01.22,10.73,0.797141179617887
01.22,10.83,0.8173384194012461
01.22,10.84,0.7776620684205666
01.22,10.85,0.797141179617887
01.22,12.00,0.8116092250264235
01.22,14.14,0.7552543207466786
01.22,14.39,0.7540796796299452
01.22,24.41,0.7967098974305415
01.23,01.13,0.8288264407693184
01.23,01.14,0.7574649909108992
01.23,01.21,0.805250320322782
01.23,01.22,0.8171211674092407
01.23,01.25,0.7661901783327286
01.23,01.26,0.8007539919959907
01.23,08.93,0.7632781675087639
01.23,10.39,0.8286766359005038
01.24,01.13,0.8411829609649144
01.24,01.21,0.8390906130094947
01.24,01.25,0.7873068779845458
01.24,01.26,0.7513746694996162
01.24,01.45,0.7597534197872835
01.24,10.39,0.7883763943392519
01.24,10.52,0.7600623892049765
01.24,11.02,0.7822691215949169
01.25,01.13,0.8882338434474041
01.25,01.19,0.9633474667276856
01.25,01.22,0.7659415764251915
01.25,01.23,0.7661901783327286
01.25,01.24,0.7873068779845458
01.25,02.10,0.9688820104853227
01.25,10.32,0.753690871308941
01.25,10.39,0.7993842143796699
01.25,24.41,0.7781988294302158
01.26,01.13,0.8609527822500963
01.26,01.15,0.803350664196357
01.26,01.22,0.8498321979603611
01.26,01.23,0.8007539919959907
01.26,01.24,0.7513746694996162
01.26,01.30,0.778028619515482
01.26,08.93,0.7742609010409827
01.26,10.32,0.8138550326170151
01.26,10.39,0.8815701863385028
01.26,10.52,0.754011317092896
01.26,10.61,0.7783376972951239
01.26,10.71,0.8389758647398227
01.26,10.72,0.8389758647398227
01.26,10.81,0.7684864396083155
01.26,10.84,0.7844433193659538
01.26,11.05,0.7577000276451658
01.26,11.07,0.7855368281201713
01.26,12.00,0.8155917521136553
01.26,14.12,0.814247108746876
01.26,14.13,0.7929330779847326
01.26,14.14,0.8091697945170532
01.26,14.39,0.783152505659622
01.26,17.21,0.8150820987353591
01.26,22.22,0.8310125106264077
01.26,23.51,0.7928845146397724
01.26,23.52,0.7613531562462215
01.27,01.15,0.7817611486685472
01.27,01.22,0.8109881888652499
01.27,01.28,0.7808300828735197
01.27,02.30,0.784955045449949
01.27,10.83,0.9942741894026073
01.27,12.00,0.7505069180203292
01.27,24.41,0.7637194570881157
01.28,01.27,0.7808300828735197
01.28,03.11,0.7587819528800956
01.28,03.12,0.7587819528800956
01.28,10.20,0.7769058433386199
01.28,10.83,0.7816513354351187
01.28,10.84,0.809860931979357
01.29,02.30,0.8942182133528911
01.30,01.13,0.8005955873854543
01.30,01.26,0.778028619515482
01.30,02.10,0.7516883917233697
01.30,10.52,0.7600401711819519
01.41,01.42,0.99921767262561
01.41,01.49,0.7775590727814595
01.41,01.50,0.8210237160422726
01.41,02.20,0.7661637208202893
01.41,10.13,0.8345671736604593
01.41,10.51,0.7718788674809556
01.41,10.61,0.7574071172889771
01.41,10.71,0.7570539924566324
01.41,10.72,0.7570539924566324
01.41,10.81,0.7506536819323455
01.41,10.86,0.7737698159289175
01.41,11.05,0.8010414423127634
01.41,11.07,0.759476172327039
01.41,16.10,0.7771997040468643
01.41,16.21,0.7980558960526376
01.41,16.22,0.7640915248048004
01.41,16.23,0.7721471511087761
01.41,22.22,0.7560314182002897
01.41,23.61,0.7615453247542073
01.41,25.11,0.754171598256924
01.41,25.92,0.7562457192347544
01.41,35.11,0.8002076902878634
01.42,01.41,0.99921767262561
01.42,01.49,0.7792281713984106
01.42,01.50,0.8225434660620452
01.42,02.20,0.7648641772042
01.42,10.13,0.8335724155811433
01.42,10.51,0.7716175533312473
01.42,10.61,0.7588988034777489
01.42,10.71,0.7572940084615636
01.42,10.72,0.7572940084615636
01.42,10.81,0.752717032378316
01.42,10.86,0.7738017749863167
01.42,11.05,0.8017534401973099
01.42,11.07,0.7608161839550666
01.42,16.10,0.7754621766755752
01.42,16.21,0.7938523115211218
01.42,16.22,0.7610838691156249
01.42,16.23,0.7678852237085213
01.42,22.22,0.7515483332548656
01.42,23.61,0.7571679915690454
01.42,25.92,0.7551241097091264
01.42,35.11,0.8000756770614881
01.43,10.11,0.8189246771456887
01.43,10.51,0.754990605148611
01.43,20.52,0.7607535117217762
01.43,20.59,0.7741002258813916
01.44,01.49,0.7910836944048873
01.44,03.11,0.7738022377453024
01.44,03.12,0.7738022377453024
01.44,03.21,0.9969815972766
01.44,03.22,0.9969815972766
01.45,01.24,0.7597534197872835
01.45,01.50,0.7685797942432825
01.46,08.92,0.7566237547508563
01.46,10.11,0.7697528055445855
01.47,01.49,0.8603026717819573
01.47,10.13,0.7836349555585033
01.47,11.05,0.7756536355759642
01.47,23.69,0.784112960353649
01.47,25.21,0.770712299214783
01.47,25.91,0.7618225198509849
01.47,25.92,0.7778213188348686
01.47,27.33,0.7822644623243379
01.47,58.13,0.7507653510463906
01.47,58.14,0.7507653510463906
01.49,01.13,0.7609932550548737
01.49,01.41,0.7775590727814595
01.49,01.42,0.7792281713984106
01.49,01.44,0.7910836944048873
01.49,01.47,0.8603026717819573
