,0src0,0dest0,weight
21,1.11,1.45,0.7581824482370942
25,1.11,1.5,0.9439603841683352
53,1.11,10.41,0.7511995244779862
558,1.13,1.19,0.8032906522451294
559,1.13,1.21,0.7745534572032429
560,1.13,1.22,0.831587455722478
561,1.13,1.23,0.8467723717626057
562,1.13,1.24,0.8476551703466333
563,1.13,1.25,0.8690070231040514
564,1.13,1.26,0.8690750708682263
568,1.13,1.3,0.8081032305425406
576,1.13,1.49,0.7533044703062006
577,1.13,1.5,0.775538250874796
578,1.13,2.1,0.8432570056427726
592,1.13,8.11,0.7889275537143643
596,1.13,8.93,0.7677747939109311
602,1.13,10.31,0.7903778685525853
603,1.13,10.32,0.7828188668460372
604,1.13,10.39,0.882338951528759
605,1.13,10.41,0.8073720571825718
608,1.13,10.52,0.7744047888747838
609,1.13,10.61,0.8280819929551869
611,1.13,10.71,0.7852079311396436
612,1.13,10.72,0.7852079311396436
617,1.13,10.84,0.7927693915800557
619,1.13,10.86,0.7517297309536494
620,1.13,10.89,0.7529035688336356
627,1.13,11.05,0.7600843719942091
629,1.13,11.07,0.7639067305932736
630,1.13,12.0,0.7640913191942253
676,1.13,20.41,0.756012933956399
1112,1.15,1.22,0.7549615284317368
1116,1.15,1.26,0.7713001812294205
1117,1.15,1.27,0.7642595572596209
1155,1.15,10.32,0.7572773056572484
1156,1.15,10.39,0.8028067682966586
1166,1.15,10.81,0.7646509978341265
1168,1.15,10.83,0.7573447183775739
1182,1.15,12.0,0.8957638447595273
1193,1.15,14.12,0.8178237693051583
1194,1.15,14.13,0.7981285280879006
1195,1.15,14.14,0.8157893835053927
1199,1.15,14.39,0.8224724982509714
1200,1.15,15.11,0.7757966273746879
1211,1.15,17.21,0.7506831691962935
1256,1.15,23.51,0.7796115175548911
1459,1.16,13.1,0.9473918821118377
1658,1.19,1.13,0.8032906522451294
1667,1.19,1.25,0.9669333147923886
1682,1.19,2.1,0.9806582581646515
1934,1.21,1.13,0.7745534572032429
1941,1.21,1.23,0.7971792100913899
1942,1.21,1.24,0.8333945572813377
1972,1.21,8.11,0.7550723220621475
1984,1.21,10.39,0.771498915290234
2210,1.22,1.13,0.831587455722478
2212,1.22,1.15,0.7549615284317368
2217,1.22,1.23,0.8165037775723805
2219,1.22,1.25,0.7614789005985074
2220,1.22,1.26,0.8528553147587995
2221,1.22,1.27,0.7831959559817441
2257,1.22,10.2,0.7551318268534588
2259,1.22,10.32,0.7942531432858284
2260,1.22,10.39,0.8821157480560988
2269,1.22,10.73,0.7861252631142189
2272,1.22,10.83,0.7881404889989998
2273,1.22,10.84,0.7605655293354521
2274,1.22,10.85,0.7861252631142188
2286,1.22,12.0,0.7653332361807388
2299,1.22,14.14,0.7504472572712787
2303,1.22,14.39,0.7516385079639516
2360,1.22,23.51,0.7598392045603832
2377,1.22,24.41,0.7830834873586798
2486,1.23,1.13,0.8467723717626057
2491,1.23,1.21,0.7971792100913899
2492,1.23,1.22,0.8165037775723805
2494,1.23,1.24,0.7616759945615541
2495,1.23,1.25,0.788913863040651
2496,1.23,1.26,0.7971362220353718
2528,1.23,8.93,0.7602570319593323
2536,1.23,10.39,0.8095281772372853
2762,1.24,1.13,0.8476551703466333
2767,1.24,1.21,0.8333945572813377
2769,1.24,1.23,0.7616759945615541
2771,1.24,1.25,0.7735005773236264
2812,1.24,10.39,0.7942763986629755
2816,1.24,10.52,0.7726484396562513
2817,1.24,10.61,0.7552142500916244
2832,1.24,11.02,0.8021928206343464
2884,1.24,20.41,0.7519958560018485
3038,1.25,1.13,0.8690070231040514
3042,1.25,1.19,0.9669333147923886
3044,1.25,1.22,0.7614789005985074
3045,1.25,1.23,0.788913863040651
3046,1.25,1.24,0.7735005773236264
3061,1.25,1.5,0.758810547555837
3062,1.25,2.1,0.969456127702795
3087,1.25,10.32,0.7533376616489598
3088,1.25,10.39,0.8042281463635605
3314,1.26,1.13,0.8690750708682263
3316,1.26,1.15,0.7713001812294205
