source,target,weight
1.11,1.5,0.9421680799388306
1.11,10.41,0.7787983647015133
1.12,10.61,0.7846717322658192
1.13,1.19,0.8130864196199308
1.13,1.21,0.7997142419526398
1.13,1.22,0.8486903225599395
1.13,1.23,0.8502018818264445
1.13,1.24,0.8642096071243583
1.13,1.25,0.8803196770805191
1.13,1.26,0.8733558441690934
1.13,1.3,0.7903114197962422
1.13,1.49,0.7585454059678376
1.13,1.5,0.7655910764058077
1.13,2.1,0.8518426910684103
1.13,8.11,0.7710185891967347
1.13,8.93,0.7617701168379394
1.13,10.31,0.8253575516380527
1.13,10.32,0.7939759006657534
1.13,10.39,0.8975750219449697
1.13,10.41,0.8066242431013027
1.13,10.51,0.8043775580762256
1.13,10.52,0.7740493152575038
1.13,10.61,0.7663376269190679
1.13,10.71,0.7760549496142991
1.13,10.72,0.7760549496142991
1.13,10.82,0.8099120497552867
1.13,10.84,0.7966307119360132
1.13,10.86,0.8224989667833549
1.13,10.89,0.7553717060130369
1.13,11.07,0.7556359111244029
1.13,12.0,0.7703034339921474
1.13,17.22,0.7800378751485622
1.14,1.49,0.7590369186459245
1.14,3.11,0.7666421272510213
1.14,3.12,0.7666421272510213
1.15,1.22,0.7701500479093737
1.15,1.26,0.755868826146978
1.15,1.27,0.7565874924930371
1.15,1.49,0.7560066427030416
1.15,3.11,0.7520777306973678
1.15,3.12,0.7520777306973678
1.15,10.32,0.7639489082232827
1.15,10.61,0.8100423814124085
1.15,10.71,0.7587143955276334
1.15,10.72,0.7587143955276334
1.15,10.81,0.7676106776487284
1.15,10.83,0.7512145748442463
1.15,12.0,0.8780653343921602
1.15,14.12,0.8230186388932021
1.15,14.13,0.8049040920822652
1.15,14.14,0.8238325028523741
1.15,14.39,0.8198412856817666
1.15,23.51,0.7651863953769188
1.16,13.1,0.9918320070184444
1.19,1.25,0.9678707788984968
1.19,2.1,0.9801553914565496
1.21,1.23,0.8332550293270908
1.21,1.24,0.8393107179695884
1.21,1.25,0.7512990241599771
1.21,10.39,0.7539187826036745
1.22,1.23,0.8240226257517334
1.22,1.25,0.7924982732484306
1.22,1.26,0.8625676193181168
1.22,1.27,0.8041047891406174
1.22,1.49,0.775454605443233
1.22,3.11,0.7787361714132217
1.22,3.12,0.7787361714132217
1.22,10.2,0.7854134320753479
1.22,10.32,0.8179851797324451
1.22,10.39,0.8619386737767145
1.22,10.61,0.7833573235874081
1.22,10.73,0.7671078311255914
1.22,10.83,0.8125685916749184
1.22,10.84,0.7779704085999946
1.22,12.0,0.8035094997048192
1.22,14.14,0.7503066233589777
1.22,14.39,0.7632096397996662
1.22,24.41,0.7989733228891305
1.23,1.24,0.7768824986321982
1.23,1.25,0.7852904208785623
1.23,1.26,0.8078901039352783
1.23,8.93,0.7535110454316435
1.23,10.39,0.8035502870154038
1.23,10.41,0.7561391367059822
1.23,10.61,0.7609033087189271
1.24,1.25,0.7915613435481166
1.24,1.26,0.7563900741666567
1.24,1.45,0.7506304273784408
1.24,1.5,0.7594518239152848
1.24,2.1,0.7511375222088058
1.24,10.31,0.8021714013498821
1.24,10.39,0.8406335407659946
1.24,10.41,0.7534496393309702
1.24,10.51,0.7566581482410268
1.24,10.52,0.7663618956469321
1.24,10.86,0.7831904903176976
1.24,11.02,0.7903988579546664
1.25,2.1,0.9721757565868686
1.25,10.39,0.8059212693827562
1.25,24.41,0.7500981286638982
1.26,1.3,0.7835782028125646
1.26,1.49,0.7653733792428735
1.26,8.93,0.7976492123305172
1.26,10.31,0.7745897417425333
1.26,10.32,0.821280832454375
1.26,10.39,0.8582536278086459
1.26,10.51,0.7760522140949507
1.26,10.52,0.7650955861095783
1.26,10.61,0.7922108113373946
1.26,10.71,0.8226715039236117
1.26,10.72,0.8226715039236117
1.26,10.81,0.7625140052252365
1.26,10.82,0.7543845102509252
1.26,10.84,0.7995810722370136
1.26,10.86,0.8368800603314963
1.26,11.05,0.7588973747344452
1.26,11.07,0.7768083280150708
1.26,12.0,0.7665238495773927
1.26,14.12,0.8144614948466823
1.26,14.13,0.7881798651577321
1.26,14.14,0.804840591132457
1.26,14.39,0.8077379332838751
1.26,17.21,0.8234227450868035
1.26,17.22,0.8148340527967484
1.26,22.21,0.7594554047779876
1.26,22.22,0.8193513808319699
1.26,23.51,0.7797205577959808
1.26,23.52,0.7753229769722264
1.27,1.28,0.8099657019097115
1.27,2.3,0.8142036645264725
1.27,10.61,0.7710846992409195
